,NAME,S0101_C01_001E
48319,"Mason County, Texas",4186
48321,"Matagorda County, Texas",36774
48323,"Maverick County, Texas",58174
48325,"Medina County, Texas",50057
48327,"Menard County, Texas",2119
48329,"Midland County, Texas",168167
48331,"Milam County, Texas",24770
48333,"Mills County, Texas",4889
48335,"Mitchell County, Texas",8523
48337,"Montague County, Texas",19489
48339,"Montgomery County, Texas",571949
48341,"Moore County, Texas",21399
48343,"Morris County, Texas",12373
48345,"Motley County, Texas",1252
48347,"Nacogdoches County, Texas",65339
48349,"Navarro County, Texas",48995
48351,"Newton County, Texas",13914
48353,"Nolan County, Texas",14904
48355,"Nueces County, Texas",361540
48357,"Ochiltree County, Texas",10131
48359,"Oldham County, Texas",2094
48361,"Orange County, Texas",84069
48363,"Palo Pinto County, Texas",28540
48365,"Panola County, Texas",23327
48367,"Parker County, Texas",133811
48369,"Parmer County, Texas",9718
48371,"Pecos County, Texas",15815
48373,"Polk County, Texas",48913
48375,"Potter County, Texas",119674
48377,"Presidio County, Texas",6975
48379,"Rains County, Texas",11766
48381,"Randall County, Texas",134026
48383,"Reagan County, Texas",3766
48385,"Real County, Texas",3408
48387,"Red River County, Texas",12171
48389,"Reeves County, Texas",15492
48391,"Refugio County, Texas",7145
48393,"Roberts County, Texas",805
48395,"Robertson County, Texas",16990
48397,"Rockwall County, Texas",97175
48399,"Runnels County, Texas",10277
48401,"Rusk County, Texas",53755
48403,"Sabine County, Texas",10471
48405,"San Augustine County, Texas",8286
48407,"San Jacinto County, Texas",28180
48409,"San Patricio County, Texas",67008
48411,"San Saba County, Texas",5991
48413,"Schleicher County, Texas",2983
48415,"Scurry County, Texas",17096
48417,"Shackelford County, Texas",3296
48419,"Shelby County, Texas",25349
48421,"Sherman County, Texas",3059
48423,"Smith County, Texas",227449
48425,"Somervell County, Texas",8860
48427,"Starr County, Texas",64078
48429,"Stephens County, Texas",9364
48431,"Sterling County, Texas",1231
48433,"Stonewall County, Texas",1476
48435,"Sutton County, Texas",3824
48437,"Swisher County, Texas",7432
48439,"Tarrant County, Texas",2049770
48441,"Taylor County, Texas",136870
48443,"Terrell County, Texas",896
48445,"Terry County, Texas",12528
48447,"Throckmorton County, Texas",1436
48449,"Titus County, Texas",32640
48451,"Tom Green County, Texas",117986
48453,"Travis County, Texas",1226805
48455,"Trinity County, Texas",14620
48457,"Tyler County, Texas",21518
48459,"Upshur County, Texas",41018
48461,"Upton County, Texas",3659
48463,"Uvalde County, Texas",26920
48465,"Val Verde County, Texas",48969
48467,"Van Zandt County, Texas",55103
48469,"Victoria County, Texas",92109
48471,"Walker County, Texas",72321
48473,"Waller County, Texas",51832
48475,"Ward County, Texas",11658
48477,"Washington County, Texas",35163
48479,"Webb County, Texas",273526
48481,"Wharton County, Texas",41577
48483,"Wheeler County, Texas",5338
48485,"Wichita County, Texas",131596
48487,"Wilbarger County, Texas",12833
48489,"Willacy County, Texas",21588
48491,"Williamson County, Texas",547604
48493,"Wilson County, Texas",49173
48495,"Winkler County, Texas",7867
48497,"Wise County, Texas",66290
48499,"Wood County, Texas",44366
48501,"Yoakum County, Texas",8631
48503,"Young County, Texas",18036
48505,"Zapata County, Texas",14304
48507,"Zavala County, Texas",12039
